Brand,Model,Generation,Processor,RAM,Storage,marketplace,category,link,priceInitial,pricePromo,promotiontype,collectionTime,productName
Hp,EliteBook 840 G,Unknown,Unknown,8GB,256GB SSD,Jumia,PC Portables,https://www.jumia.ma/hp-elitebook-840-g3-i5-6200u-8go-ddr4-256go-ssd14-remis-a-neuf-42756305.html,7500.0,2499.0,67%,2025-01-25 21:05:08,
Hp,EliteBook 840 G,Unknown,Core i5,16GB,512 GB SSD,Jumia,PC Portables,https://www.jumia.ma/hp-elitebook-840-g5-core-i5-8eme-i-16go-qwerty-i-512-go-ssd-gratuit-cartablecle-usb-16-go-souris-sans-fil-remis-a-neuf-65352114.html,5600.0,3550.0,37%,2025-01-25 21:05:08,
Lenovo,260,Unknown,Core i5,8GB,Unknown,Jumia,PC Portables,https://www.jumia.ma/lenovo-thinkpad-x260-intel-core-i5-6eme-generationram-8go500go-sshd-remis-a-neuf-50383944.html,3200.0,1999.0,38%,2025-01-25 21:05:08,
Hp,ELITEBOOK 840 G,8th Gen,Core i5,Unknown,Unknown,Jumia,PC Portables,https://www.jumia.ma/elitebook-830-g5-core-i5-8eme-gen-ram-16gb-ssd-256gb-remis-a-neuf-hp-mpg1413119.html,3900.0,3200.0,18%,2025-01-25 21:05:08,
Hp,360 G,Unknown,Unknown,Unknown,Unknown,Jumia,PC Portables,https://www.jumia.ma/hp-pc-portable-elitebook-x360-g2-i5-7eme-8gb-256gb-ssd-tactile-remis-a-neuf-60053070.html,7999.0,4721.55,41%,2025-01-25 21:05:08,
Hp,Elitebook 840 G,Unknown,CORE i5,16GB,256GBSSD,Jumia,PC Portables,https://www.jumia.ma/elitebook-840-g3-core-i5-6300u-ram-16-go-ddr4-256gossd-remis-a-neuf-hp-mpg1413175.html,7500.0,2699.0,64%,2025-01-25 21:05:08,
Lenovo,220,Unknown,Core i5,8GB,Unknown,Jumia,PC Portables,https://www.jumia.ma/lenovo-thinkpad-x220-intel-core-i5-ram-8go-hdd-320go-cartable-remis-a-neuf-62173953.html,2999.0,1789.0,40%,2025-01-25 21:05:08,
Lenovo,3,Unknown,Unknown,Unknown,Unknown,Jumia,PC Portables,https://www.jumia.ma/lenovo-ideapad-slim-3-156-8gb-512gb-15irh8-neuf-1-an-de-garantie-65804831.html,7499.0,6499.0,13%,2025-01-25 21:05:08,
Lenovo,540P,Unknown,Unknown,500GB,Unknown,Jumia,PC Portables,https://www.jumia.ma/lenovo-pc-portable-lenovo-thinkpad-t540p-i5-8g-500go-full-hd-remise-a-neuf-58649884.html,3899.0,1999.0,49%,2025-01-25 21:05:08,
Lenovo,450 Core,5th Gen,Core i5,Unknown,Unknown,Jumia,PC Portables,https://www.jumia.ma/lenovo-pc-portable-thinkpad-l450-core-i5-5eme-generation-ram-8gb-500-hdd-azerty-remis-a-neuf-64913551.html,2999.0,1899.0,37%,2025-01-25 21:05:08,
Lenovo,470 Core,6th Gen,Core i5,Unknown,Unknown,Jumia,PC Portables,https://www.jumia.ma/pc-portable-thinkpad-t470-core-i5-ram-8gb-500-hdd-6eme-generation-remis-a-neuf-lenovo-mpg1413241.html,3999.0,3995.0,1%,2025-01-25 21:05:08,
Hp,EliteBook 855 G,Unknown,Unknown,16GB,256GB SSD,Jumia,PC Portables,https://www.jumia.ma/hp-elitebook-855-g7-amdr-ryzentm5-pro-4650u-16go-256go-ssd-15.6-fhd-remis-a-neuf-65649590.html,4999.0,3899.0,22%,2025-01-25 21:05:08,
DELL,5491 i,Unknown,Unknown,16GB,512GB SSD,Jumia,PC Portables,https://www.jumia.ma/dell-pc-portable-latitude-5491-i5-8eme-16go-ddr4-512go-ssd-14-qwerty-remis-a-neuf-64229361.html,4100.0,2899.0,29%,2025-01-25 21:05:08,
Hp,ELITEBOOK 840 G,8th Gen,CORE I5,16GB,256 GB SSD,Jumia,PC Portables,https://www.jumia.ma/hp-pc-portable-elitebook-840-g5-core-i5-8eme-gen-16go-ram-256-go-ssd-remis-a-neuf-62072221.html,4100.0,3299.0,20%,2025-01-25 21:05:08,
Hp,EliteBook 830 G,Unknown,Core i5,8GB,256GB SSD,Jumia,PC Portables,https://www.jumia.ma/elitebook-830-g5-intel-core-i5-8350u-8go-ddr4-256go-ssd-remis-a-neuf-hp-mpg1413184.html,4600.0,2799.0,39%,2025-01-25 21:05:08,
Hp,360 G,Unknown,Unknown,Unknown,Unknown,Jumia,PC Portables,https://www.jumia.ma/hp-pc-portable-elitebook-x360-g3-i5-8eme-8gb-512gb-ssd-tactile-remis-a-neuf-61942802.html,9999.0,5999.0,40%,2025-01-25 21:05:08,
Hp,ELITEBOOK 840 G,8th Gen,CORE I5,16GB,512 GB SSD,Jumia,PC Portables,https://www.jumia.ma/elitebook-840-g5-8eme-gen-core-i5-8go-256-go-ssd-souris-et-cartable-gratuit-remise-a-neuf-hp-mpg1413182.html,4199.0,3609.05,14%,2025-01-25 21:05:08,
Unknown,6S,Unknown,Unknown,8GB,128GB SSD,Jumia,PC Portables,https://www.jumia.ma/teclast-f6s-133-pouces-8go-ram-128go-ssd-intel-celeron-n3350-ecran-13.3-pouce-64571455.html,2300.0,1799.0,22%,2025-01-25 21:05:08,
Apple,13,Unknown,Core I5,8GB,256GO SSD,Jumia,PC Portables,https://www.jumia.ma/apple-macbook-pro-retina-13.3-2015-core-i5-ram-8go-disk-dur-256go-ssdquerty-remis-a-neuf-65013419.html,5999.0,3499.0,42%,2025-01-25 21:05:08,
Apple,13,Unknown,CORE i5,8GB,Unknown,Jumia,PC Portables,https://www.jumia.ma/apple-macbook-pro-retina-133-2015-intel-core-i5-ram-8go-ssd-128go-remis-a-neuf-62640647.html,4199.0,2999.0,29%,2025-01-25 21:05:08,
Hp,EliteBook 820,5th Gen,Unknown,Unknown,Unknown,Jumia,PC Portables,https://www.jumia.ma/hp-ordinateur-portable-hp-elitebook-820-i5-5eme-generation-remise-a-neuf-46916053.html,4999.0,1999.0,60%,2025-01-25 21:05:08,
Apple,2020,Unknown,Unknown,8GB,Unknown,Jumia,PC Portables,https://www.jumia.ma/apple-macbook-air-2020-retina-133-intel-i3-ram-8go-ssd-256go-batterie10h-remis-a-neuf-64628197.html,7999.0,5699.05,29%,2025-01-25 21:05:08,
DELL,7240 CORE,Unknown,CORE I5,Unknown,Unknown,Jumia,PC Portables,https://www.jumia.ma/dell-ultrabook-e7240-core-i5-8g-128g-ssd-remis-a-neuf-azerty-64561751.html,4399.0,1799.0,59%,2025-01-25 21:05:08,
Lenovo,440 Core,Unknown,Core i5,Unknown,Unknown,Jumia,PC Portables,https://www.jumia.ma/pc-portable-lenovo-thinkpad-t440-core-i5-ram-8gb-500-hdd-remis-a-neuf-lenovo-mpg1413259.html,3199.0,1799.0,44%,2025-01-25 21:05:08,
Lenovo,420,Unknown,Unknown,250GB,Unknown,Jumia,PC Portables,https://www.jumia.ma/lenovo-pc-portable-thinkpad-l420-i5-8g-250go-hd-azerty-remis-a-neuf-65654251.html,2399.0,1599.0,33%,2025-01-25 21:05:08,
Lenovo,460 Core,6th Gen,Core i5,Unknown,Unknown,Jumia,PC Portables,https://www.jumia.ma/lenovo-pc-portable-thinkpad-l460-core-i5-ram-8gb-500-hdd-6eme-generation-azerty-remis-a-neuf-65216360.html,3999.0,1999.0,50%,2025-01-25 21:05:13,
Lenovo,470 Core,6th Gen,Core i5,Unknown,Unknown,Jumia,PC Portables,https://www.jumia.ma/lenovo-pc-portable-thinkpad-t470-core-i5-ram-16gb-512-ssd-6eme-generation-remis-a-neuf-62066920.html,4999.0,3999.0,20%,2025-01-25 21:05:13,
Hp,EliteBook 840,Unknown,Unknown,8GB,500GB HDD,Jumia,PC Portables,https://www.jumia.ma/hp-pc-portable-elitebook-840-core-intel-i5-ram-8go-500go-hdd-remis-a-neuf-64120943.html,4200.0,1999.0,52%,2025-01-25 21:05:13,
DELL,5490 i,Unknown,Unknown,16GB,512GB SSD,Jumia,PC Portables,https://www.jumia.ma/dell-latitude-5490-i7-8eme-16go-ddr4512go-ssd-14-pouces-azerty-remis-a-neuf-65291830.html,4500.0,3900.0,13%,2025-01-25 21:05:13,
Unknown,748,Unknown,Unknown,16GB,512 GB SSD,Jumia,PC Portables,https://www.jumia.ma/fujitsu-siemens-pc-portable-fujitsu-lifebook-u748-intel-i5-ram16go-512-go-ssd-full-hd-azerty-remis-a-neuf-65099936.html,4899.0,2999.0,39%,2025-01-25 21:05:13,
Asus,713 Ryzen,Unknown,Ryzen 7,32GB,512GB SSD,Jumia,PC Portables,https://www.jumia.ma/asus-pc-portable-g713-ryzen-7-4800h-173-32go-512go-ssd-win-10-gray-rtx-3050-4g-12m-45856918.html,18000.0,14499.0,19%,2025-01-25 21:05:13,
Hp,16,Unknown,Ryzen 5600,16GB,Unknown,Jumia,PC Portables,https://www.jumia.ma/hp-victus-16-144-hz-ryzen-5600h-rtx-3050-ti-16-go-ram-512-ssd-e0358ng-bo-63862679.html,13999.0,10999.0,21%,2025-01-25 21:05:13,
Hp,5,Unknown,Unknown,16GB,256GB SSD,Jumia,PC Portables,https://www.jumia.ma/hp-elitebook-g5-830-i5-8eme-ram-16go-256go-ssd-14-fhd-remis-a-neuf-63461153.html,4600.0,3500.0,24%,2025-01-25 21:05:13,
Lenovo,440 Core,Unknown,Core i5,Unknown,Unknown,Jumia,PC Portables,https://www.jumia.ma/pc-portable-thinkpad-t440-core-i5-ram-8gb-500-hdd-remis-a-neuf-lenovo-mpg1413237.html,3299.0,1779.05,46%,2025-01-25 21:05:13,
Hp,640 G,Unknown,Core i5,16GB,500GB HDD,Jumia,PC Portables,https://www.jumia.ma/hp-probook-640-g5-ntelr-core-i5-8365u-16go-ssd-256go500go-hdd-remis-a-neuf-64635740.html,4200.0,3500.0,17%,2025-01-25 21:05:13,
Lenovo,470 Core,6th Gen,Core i5,Unknown,Unknown,Jumia,PC Portables,https://www.jumia.ma/lenovo-pc-portable-thinkpad-t470-core-i5-6eme-gen-ram-8gb-256-ssd-remis-a-neuf-think-pad-mpg1470903.html,3600.0,2399.0,33%,2025-01-25 21:05:13,
Hp,EliteBook 850 G,Unknown,Core i7,16GB,512GB SSD,Jumia,PC Portables,https://www.jumia.ma/hp-elitebook-850-g3-core-i7-16go-ddr4-512go-ssd-15.6-full-hdsacoch-remis-a-neuf-qwerty-59845760.html,6799.0,4188.55,38%,2025-01-25 21:05:13,
Hp,EliteBook 850 G,Unknown,Core i5,Unknown,Unknown,Jumia,PC Portables,https://www.jumia.ma/hp-elitebook-850-g5-intel-core-i5-8365u-16gb-ram-256gb-nvme-15.6-remis-a-neuf-64624150.html,4200.0,3350.0,20%,2025-01-25 21:05:13,
Lenovo,460 Core,6th Gen,Core i5,Unknown,Unknown,Jumia,PC Portables,https://www.jumia.ma/pc-portable-thinkpad-t460-core-i5-ram-8gb-500-hdd-6eme-generation-remis-a-neuf-lenovo-mpg1474782.html,3999.0,1999.0,50%,2025-01-25 21:05:13,
Hp,5,Unknown,CORE i5,8GB,Unknown,Jumia,PC Portables,https://www.jumia.ma/hp-pc-portable-elitebook-core-i5-6eme-ram-8go-ddr4-500go-remis-a-neuf-46685027.html,8500.0,2899.0,66%,2025-01-25 21:05:13,
Acer,16,Unknown,Unknown,32GB,Unknown,Jumia,PC Portables,https://www.jumia.ma/acer-predator-helios-neo-16-phn16-71-i9-13900hx-32-go-1to-ssd-rtxtm-4070-azerty-65246488.html,24000.0,20500.0,15%,2025-01-25 21:05:13,
Unknown,5,Unknown,Unknown,Unknown,Unknown,Jumia,PC Portables,https://www.jumia.ma/raspberry-pi-5-8-gb-ram-64758955.html,,1250.0,Aucune,2025-01-25 21:05:13,
Hp,EliteBook 820,5th Gen,Unknown,Unknown,Unknown,Jumia,PC Portables,https://www.jumia.ma/hp-ordinateur-portable-hp-elitebook-820-i5-5eme-generation-remise-a-neuf-42699444.html,4250.0,1899.0,55%,2025-01-25 21:05:13,
Asus,543M,Unknown,Unknown,Unknown,Unknown,Jumia,PC Portables,https://www.jumia.ma/asus-x543m-celeron-n4020-15.6-hd-4g-1to-hdd-win-11home-64641259.html,3590.0,2570.0,28%,2025-01-25 21:05:13,
DELL,5440,Unknown,Unknown,Unknown,Unknown,Jumia,PC Portables,https://www.jumia.ma/pc-portable-dell-latitude-e5440-i5-8g-500g-souris-cartable-gratuit-remis-a-neuf-dell-mpg1486438.html,3399.0,2199.0,35%,2025-01-25 21:05:13,
Hp,EliteBook 830 G,Unknown,Core i7,32GB,512GB SSD,Jumia,PC Portables,https://www.jumia.ma/hp-elitebook-830-g6-core-i7-8565u-32go-ddr4-512go-ssd-remis-a-neuf-64223311.html,9699.0,5999.0,38%,2025-01-25 21:05:13,
Msi,63 Thin,Unknown,Unknown,4GB,Unknown,Jumia,PC Portables,https://www.jumia.ma/msi-gf63-thin-10sc-401ma-i5-10300h-8-de-ram-512-ssd-gtx1650-4-go-15.6-pouce-60hz-64642777.html,10500.0,9230.0,12%,2025-01-25 21:05:13,
Apple,2019,Unknown,Unknown,8GB,Unknown,Jumia,PC Portables,https://www.jumia.ma/apple-macbook-air-2019-retina-133-intel-i5-ram-8go-ssd-128go-batterie10h-remis-a-neuf-65013461.html,7999.0,7995.0,1%,2025-01-25 21:05:13,
DELL,7450 Intel,5th Gen,Core i5,8GB,Unknown,Jumia,PC Portables,https://www.jumia.ma/ultraportable-dell-latitude-e7450-intel-core-i5-5eme-generation-8go-ssd-256go-remise-a-neuf-dell-mpg1453353.html,5399.0,2199.0,59%,2025-01-25 21:05:13,
Apple,1,Unknown,Unknown,8GB,Unknown,Jumia,PC Portables,https://www.jumia.ma/apple-macbook-air-m1-2020-retina-133-apple-m1-chip-ram-8go-ssd-256go-batterie10h-remis-a-neuf-63519504.html,9199.0,6649.05,28%,2025-01-25 21:05:13,
Hp,840 G,Unknown,Unknown,Unknown,Unknown,Jumia,PC Portables,https://www.jumia.ma/elitebook-840-g3-core-i5-16go-ddr4-512go-ssd-15.6-full-hdsacoch-remis-a-neuf-qwerty-hp-mpg1413217.html,4299.0,2921.25,32%,2025-01-25 21:05:13,
Hp,640 Core,Unknown,Unknown,500GB,Unknown,Jumia,PC Portables,https://www.jumia.ma/hp-pc-portable-probook-640-core-intel-i3-500go-ram-8gb-14-remis-a-neuf-62931694.html,3499.0,3495.0,1%,2025-01-25 21:05:13,
Apple,2020,Unknown,Unknown,8GB,Unknown,Jumia,PC Portables,https://www.jumia.ma/apple-macbook-air-2020-retina-133-intel-i3-ram-8go-ssd-256go-batterie10h-remis-a-neuf-64619841.html,9199.0,4999.0,46%,2025-01-25 21:05:13,
Hp,ELITEBOOK 840 CORE,Unknown,CORE I5,500GB,Unknown,Jumia,PC Portables,https://www.jumia.ma/pc-portable-hp-elitebook-840-core-i5-souris-gratuit-remise-a-neuf-hp-mpg1439482.html,5199.0,1999.0,62%,2025-01-25 21:05:13,
Hp,640 G,6th Gen,Core i3,8GB,Unknown,Jumia,PC Portables,https://www.jumia.ma/hp-probook-640-g2-core-i3-6eme-generation-14-8go-ram-ssd128gb-remis-a-neuf-41034095.html,2400.0,1950.0,19%,2025-01-25 21:05:13,
DELL,5530,Unknown,Unknown,250GB,250GB HDD,Jumia,PC Portables,https://www.jumia.ma/dell-pc-portable-latitude-e5530-i3-8g-250go-hdd-souris-gratuit-azerty-remis-a-neuf-65175476.html,2759.0,1599.0,42%,2025-01-25 21:05:13,
Hp,ELITEBOOK 840 G,6th Gen,CORE I5,Unknown,Unknown,Jumia,PC Portables,https://www.jumia.ma/hp-ultraportable-hp-elitebook-840-g3-6eme-generation-core-i5-remise-a-neuf-38876010.html,6500.0,2379.0,63%,2025-01-25 21:05:13,
Hp,640 G,6th Gen,Core i3,4GB,Unknown,Jumia,PC Portables,https://www.jumia.ma/hp-probook-640-g2-core-i3-6th-gen-ram-4go-hdd-1to-remis-a-neuf-qwerty-53137866.html,2500.0,1999.0,20%,2025-01-25 21:05:13,
Hp,360 G,Unknown,Unknown,Unknown,Unknown,Jumia,PC Portables,https://www.jumia.ma/hp-pc-portable-elitebook-x360-g3-i5-8eme-8gb-512gb-ssd-tactile-remis-a-neuf-62060842.html,6999.0,4399.0,37%,2025-01-25 21:05:13,
Lenovo,450,Unknown,Core i5,Unknown,Unknown,Jumia,PC Portables,https://www.jumia.ma/lenovo-pc-portable-thinkpad-l450-core-i5-ram-8gb-500-hdd-azerty-remis-a-neuf-64922774.html,2699.0,1999.0,26%,2025-01-25 21:05:13,
Hp,360 G,Unknown,Unknown,Unknown,Unknown,Jumia,PC Portables,https://www.jumia.ma/pc-portable-elitebook-x360-g2-i5-7eme-8gb-512gb-ssd-tactile-remis-a-neuf-hp-mpg1173625.html,8899.0,4179.05,53%,2025-01-25 21:05:13,
Lenovo,540P,Unknown,Unknown,256GB,256GB SSD,Jumia,PC Portables,https://www.jumia.ma/lenovo-pc-portable-thinkpad-t540p-i5-8g-256go-ssd-full-hd-remis-a-neuf-59795916.html,3599.0,3039.05,16%,2025-01-25 21:05:13,
Lenovo,3,Unknown,Unknown,Unknown,Unknown,Jumia,PC Portables,https://www.jumia.ma/lenovo-ideapad-slim-3-156-16gb-512gb-15irh8-neuf-1-an-de-garantie-65804829.html,8999.0,8499.0,6%,2025-01-25 21:05:13,
Lenovo,430,Unknown,Core i5,Unknown,Unknown,Jumia,PC Portables,https://www.jumia.ma/lenovo-pc-portable-thinkpad-l430-core-i5-ram-8gb-500-hdd-azerty-remis-a-neuf-65216355.html,2499.0,1999.0,20%,2025-01-25 21:05:13,
Asus,509J,Unknown,Unknown,Unknown,Unknown,Jumia,PC Portables,https://www.jumia.ma/asus-pc-portable-x509j-i3-1005g1-4gb-1t-azerty-38166772.html,4990.0,3490.0,30%,2025-01-25 21:05:13,
Apple,13,Unknown,Core I5,8GB,128GO SSD,Jumia,PC Portables,https://www.jumia.ma/apple-macbook-air-13-2015-core-i5-ram-8go-disk-dur-128go-ssd-remis-a-neuf-64402311.html,5999.0,2999.0,50%,2025-01-25 21:05:17,
Hp,640 Core,Unknown,Core i3,Unknown,Unknown,Jumia,PC Portables,https://www.jumia.ma/hp-pc-portable-probook-640-core-i3-4eme-320gb-8gb-ram-14-remis-a-neuf-63681535.html,2599.0,1999.0,23%,2025-01-25 21:05:17,
Lenovo,240,Unknown,Core i5,8GB,Unknown,Jumia,PC Portables,https://www.jumia.ma/lenovo-pc-portable-thinkpad-x240-intel-core-i5-ram-8go-ssd-128go-remis-a-neuf-62957742.html,3999.0,1799.0,55%,2025-01-25 21:05:17,
Asus,509J,Unknown,Unknown,Unknown,Unknown,Jumia,PC Portables,https://www.jumia.ma/asus-pc-portable-x509j-i3-1005g1-4gb-1t-azerty-38166772.html,4990.0,3490.0,30%,2025-01-25 21:05:17,
DELL,5530,Unknown,Unknown,250GB,250GB HDD,Jumia,PC Portables,https://www.jumia.ma/dell-pc-portable-latitude-e5530-i5-8g-250go-hdd-souris-gratuit-azerty-remis-a-neuf-64761407.html,3699.0,3199.0,14%,2025-01-25 21:05:17,
Hp,EliteBook 840,Unknown,Core i5,8GB,Unknown,Jumia,PC Portables,https://www.jumia.ma/elitebook-840-14-g3-core-i5-6th-grd-8go-ddr4-256-ssd-remis-a-neuf-hp-mpg996980.html,3000.0,2400.0,20%,2025-01-25 21:05:17,
Samsung,14,Unknown,Unknown,Unknown,Unknown,Jumia,PC Portables,https://www.jumia.ma/samsung-galaxy-book-go-14-128-gb-ssd-4-gb-ram-snapdragon-neuf-sans-emballage-azerty-65641713.html,4599.0,3299.0,28%,2025-01-25 21:05:17,
DELL,7280,Unknown,Unknown,8GB,256GB SSD,Jumia,PC Portables,https://www.jumia.ma/pc-portable-latitude-7280-i5-7eme-generation-8go-256go-ssd-remis-a-neuf-dell-mpg1333632.html,6000.0,3199.0,47%,2025-01-25 21:05:17,
Hp,360,Unknown,Core i5,Unknown,Unknown,Jumia,PC Portables,https://www.jumia.ma/pc-portable-360-touch-screen-2.71ghz-core-i5-7eme-g-7300u-8gb-ram-512gb-ssd-2-en-1-remix-a-neuf-hp-mpg1413134.html,15000.0,5900.0,61%,2025-01-25 21:05:17,
Lenovo,220,Unknown,Core i5,8GB,Unknown,Jumia,PC Portables,https://www.jumia.ma/lenovo-thinkpad-x220-intel-core-i5-intel-generation-ram-8go-hdd-320go-remis-a-neuf-62172675.html,2899.0,1799.0,38%,2025-01-25 21:05:17,
Hp,Elitebook 840 G,7th Gen,Unknown,Unknown,Unknown,Jumia,PC Portables,https://www.jumia.ma/hp-elitebook-840-g4-i5-7eme-generation-16gb-ssd-256gb-remis-a-neuf-64628180.html,3500.0,3149.0,10%,2025-01-25 21:05:17,
Hp,640 Core,Unknown,Unknown,500GB,Unknown,Jumia,PC Portables,https://www.jumia.ma/hp-pc-portable-probook-640-core-intel-i5-500go-ram-8gb-14-remis-a-neuf-60603575.html,2799.0,2621.05,6%,2025-01-25 21:05:17,
DELL,3560 ntel,5th Gen,Unknown,4GB,Unknown,Jumia,PC Portables,https://www.jumia.ma/dell-latitude-3560-ntelr-coretm-i3-5eme-generation-ram-4go-hdd-500go-15.6-tactile-remis-a-neuf-60855449.html,3999.0,1999.0,50%,2025-01-25 21:05:17,
Apple,1,Unknown,Unknown,8GB,Unknown,Jumia,PC Portables,https://www.jumia.ma/apple-macbook-air-m1-2020-retina-133-apple-m1-chip-ram-8go-ssd-256go-batterie10h-remis-a-neuf-65624284.html,7999.0,7995.0,1%,2025-01-25 21:05:17,
Lenovo,540,Unknown,Unknown,Unknown,Unknown,Jumia,PC Portables,https://www.jumia.ma/pc-portable-lenovo-thinkpad-l540-intel-cor-i5-full-hd-remise-a-neuf-lenovo-mpg1128511.html,4599.0,3999.0,13%,2025-01-25 21:05:17,
Lenovo,240,Unknown,Core i5,8GB,Unknown,Jumia,PC Portables,https://www.jumia.ma/thinkpad-x240-intel-core-i5-ram-8go-ssd-128go-remis-a-neuf-lenovo-mpg1413239.html,3299.0,1699.0,48%,2025-01-25 21:05:17,
Hp,840 G,Unknown,Unknown,Unknown,Unknown,Jumia,PC Portables,https://www.jumia.ma/hp-pc-portable-840-g3-i5-6eme-ram-16g-512-ssdcartable-gratuit-remis-a-neuf-62669738.html,3999.0,2995.0,25%,2025-01-25 21:05:17,
Hp,840 G,Unknown,Unknown,Unknown,Unknown,Jumia,PC Portables,https://www.jumia.ma/pc-portable-840-g3-i5-6eme-ram-16g-512-ssdsouris-gratuit-remis-a-neuf-hp-mpg1413216.html,4299.0,2849.05,34%,2025-01-25 21:05:17,
DELL,6440,Unknown,Unknown,128GB,128GB SSD,Jumia,PC Portables,https://www.jumia.ma/dell-pc-portable-latitude-e6440-i5-ram-4g-128go-ssd-souris-et-cartable-gratuit-azerty-remis-a-neuf-65593529.html,2999.0,1599.0,47%,2025-01-25 21:05:17,
Lenovo,460 Core,6th Gen,Core i5,Unknown,Unknown,Jumia,PC Portables,https://www.jumia.ma/lenovo-pc-portable-thinkpad-l460-core-i5-ram-8gb-500-hdd-6eme-generation-remis-a-neuf-65635851.html,3999.0,3995.0,1%,2025-01-25 21:05:17,
Lenovo,470 Core,6th Gen,Core i5,Unknown,Unknown,Jumia,PC Portables,https://www.jumia.ma/lenovo-pc-portable-thinkpad-t470-core-i5-ram-8gb-256-ssd-6eme-gen-remis-a-neuf-62983917.html,3999.0,3995.0,1%,2025-01-25 21:05:17,
